id_clasificacion;id_clasificacion_dep;descripcion;nivel_clasificacion
1;;CATEGORIA PRINCIPAL;0
2;1;ABARROTES;1
3;1;CARNICERIA;1
4;1;CONGELADOS;1
5;1;ELECTRONICA;1
6;1;ESPECIALES;1
7;1;FARMACIA;1
8;1;FERRETERIA;1
9;1;FRUTAS Y VERDURAS;1
10;1;LACTEOS Y EMBUTIDOS;1
11;1;VINOS, LICORES Y CIGARROS;1
12;1;OBSOLETOS;1
13;2;ABARROTES COMESTIBLES;2
14;2;ABARROTES NO COMESTIBLES;2
15;2;BEBES;2
16;2;CUIDADO PERSONAL;2
17;2;LIMPIEZA DEL HOGAR;2
18;2;MASCOTAS;2
19;3;CARNES RES Y CERDO;2
20;3;PAVO;2
21;3;POLLO;2
22;4;CONGELADOS;2
23;5;CAMARAS Y VIDEO;2
24;6;DE RECUPERACION;2
25;7;ARTICULOS DE FARMACIA;2
26;8;AUTOMOTRIZ;2
27;8;FERRETERIA;2
28;9;VERDURAS Y FRUTAS FRESCAS;2
29;10;EMBUTIDOS;2
30;10;LACTEOS;2
31;11;CIGARROS;2
32;11;LICOR;2
33;11;VINOS;2
34;12;OBSOLETOS;2
35;13;ACEITES;3
36;13;ADERESOS;3
37;13;ALIMENTO PARA BEBE;3
38;13;BEBIDAS;3
39;13;BOTANAS;3
40;13;C. PRODUCTOS INTEGRALES;3
41;13;CEREALES;3
42;13;CHILES SECOS GRANEL;3
43;13;DULCES;3
44;13;ENDULSANTES;3
45;13;ESPECIES Y SAZONADORES;3
46;13;ESPECIES Y SAZONADORES GRANEL;3
47;13;FRUTAS SECAS;3
48;13;GALLETAS;3
49;13;GRANOS Y SEMILLAS EMPACADO;3
50;13;GRANOS Y SEMILLAS A GRANEL;3
51;13;HARINAS Y COMPLEMENTOS;3
52;13;HUEVO;3
53;13;LATERIA Y TETRAPACK;3
54;13;MANTECAS;3
55;13;MARISCOS GRANEL;3
56;13;MERMELADAS Y JALEAS;3
57;13;PAN Y TORTILLAS;3
58;13;POSTRES;3
59;13;POSTRES GRANEL;3
60;13;PRODUCTOS MOLIDOS A GRANEL;3
61;13;SALSAS;3
62;13;SOPAS Y PASTAS;3
63;13;TE, CHOCOLATE Y CAFE;3
64;14;CARBON;3
65;14;DESECHABLES;3
66;14;DESINFECTANTES;3
67;14;PAPEL;3
68;14;VELADORAS;3
69;15;ACCESORIOS;3
